,timestamp,host,write_ops,write_ops_norm
102,2025-08-23 20:13:00,HOST-F52B15BB4B4D209D,96.24300000000001,-0.663015645968334
103,2025-08-23 20:14:00,HOST-F52B15BB4B4D209D,85.401,-0.7082805117501546
104,2025-08-23 20:15:00,HOST-F52B15BB4B4D209D,20.967,-0.9772895840417833
105,2025-08-23 20:16:00,HOST-F52B15BB4B4D209D,31.113,-0.9349304871756744
106,2025-08-23 20:17:00,HOST-F52B15BB4B4D209D,27.837,-0.9486076408651454
107,2025-08-23 20:18:00,HOST-F52B15BB4B4D209D,21.99,-0.9730186047303275
108,2025-08-23 20:19:00,HOST-F52B15BB4B4D209D,58.538000000000004,-0.8204323370127492
109,2025-08-23 20:20:00,HOST-F52B15BB4B4D209D,24.355,-0.9631448353543817
110,2025-08-23 20:21:00,HOST-F52B15BB4B4D209D,24.340999999999998,-0.963203284729123
111,2025-08-23 20:22:00,HOST-F52B15BB4B4D209D,49.28,-0.8590840735381224
112,2025-08-23 20:23:00,HOST-F52B15BB4B4D209D,29.595000000000002,-0.9412680693797699
113,2025-08-23 20:24:00,HOST-F52B15BB4B4D209D,66.007,-0.7892495955882501
114,2025-08-23 20:25:00,HOST-F52B15BB4B4D209D,49.022000000000006,-0.8601612120154984
115,2025-08-23 20:26:00,HOST-F52B15BB4B4D209D,30.367,-0.9380450038583195
116,2025-08-23 20:27:00,HOST-F52B15BB4B4D209D,37.980000000000004,-0.9062610688650523
117,2025-08-23 20:28:00,HOST-F52B15BB4B4D209D,35.96,-0.9146944786491584
118,2025-08-23 20:29:00,HOST-F52B15BB4B4D209D,26.351,-0.9548116244984036
119,2025-08-23 20:30:00,HOST-F52B15BB4B4D209D,41.7565,-0.8904943500285788
120,2025-08-23 20:31:00,HOST-F52B15BB4B4D209D,57.162,-0.8261770755587542
121,2025-08-23 20:32:00,HOST-F52B15BB4B4D209D,53.565999999999995,-0.8411902149565984
122,2025-08-23 20:33:00,HOST-F52B15BB4B4D209D,25.412,-0.9587319075614112
123,2025-08-23 20:34:00,HOST-F52B15BB4B4D209D,37.838,-0.9068539125231431
124,2025-08-23 20:35:00,HOST-F52B15BB4B4D209D,46.691,-0.8698930329099297
125,2025-08-23 20:36:00,HOST-F52B15BB4B4D209D,32.619,-0.9286430044356428
126,2025-08-23 20:37:00,HOST-F52B15BB4B4D209D,25.311000000000003,-0.9591535780506166
127,2025-08-23 20:38:00,HOST-F52B15BB4B4D209D,20.344,-0.9798905812177725
128,2025-08-23 20:39:00,HOST-F52B15BB4B4D209D,24.333000000000002,-0.9632366843718323
129,2025-08-23 20:40:00,HOST-F52B15BB4B4D209D,81.394,-0.7250095577921908
130,2025-08-23 20:41:00,HOST-F52B15BB4B4D209D,73.75,-0.7569229164009564
131,2025-08-23 20:42:00,HOST-F52B15BB4B4D209D,34.931999999999995,-0.9189863327373076
132,2025-08-23 20:43:00,HOST-F52B15BB4B4D209D,29.742,-0.940654350944986
133,2025-08-23 20:44:00,HOST-F52B15BB4B4D209D,27.195999999999998,-0.9512837872372305
134,2025-08-23 20:45:00,HOST-F52B15BB4B4D209D,17.875999999999998,-0.9901943709936011
135,2025-08-23 20:46:00,HOST-F52B15BB4B4D209D,54.904999999999994,-0.8355999497581241
136,2025-08-23 20:47:00,HOST-F52B15BB4B4D209D,114.878,-0.5852153532322862
137,2025-08-23 20:48:00,HOST-F52B15BB4B4D209D,93.423,-0.674789020023373
138,2025-08-23 20:49:00,HOST-F52B15BB4B4D209D,22.992,-0.968835299480984
139,2025-08-23 20:50:00,HOST-F52B15BB4B4D209D,38.870999999999995,-0.9025411836583007
140,2025-08-23 20:51:00,HOST-F52B15BB4B4D209D,32.299,-0.929978990144016
141,2025-08-23 20:52:00,HOST-F52B15BB4B4D209D,27.005,-0.9520812037069158
